Title,Author1,Author2,Author3,Author4,Author5,Link,Summary,Cited By
Penerapan Algoritma Enchanced Confix Stripping dalam Pengukuran Keterbacaan Teks Menggunakan Gunning Fog Index,EF Rahman,,,,,http://jatikom.cs.upi.edu/index.php/jatikom/article/view/9,"YN Fadziah, EF Rahman - JATIKOM: Jurnal Aplikasi dan Teori …, 2018 - jatikom.cs.upi.edu",3
Kinect Based Motion Capture for 3D Character Animation,Y Wihardi,EF Rahman,,,,https://scholar.archive.org/work/nlnkuw6m75gy3fh647dk3ozezq/access/wayback/https://eudl.eu/pdf/10.4108/eai.12-10-2019.2296516,"Y Wihardi, EF Rahman, FF HN - 2020 - scholar.archive.org",0
Perancangan dan Implementasi Network Functions Virtualization (NFV) Berbasis Cloud Computing dengan OpenStack,EP Nugroho,,,,,http://jatikom.cs.upi.edu/index.php/jatikom/article/view/23,"A Jatikom, M Fadhil, EP Nugroho… - … : Jurnal Aplikasi dan …, 2018 - jatikom.cs.upi.edu",2
Implementasi Algoritma Extreme Learning Machine pada Prediksi Aktivitas Badai Geomagnetik,R Megasari,E Nugraha,,,,http://jatikom.cs.upi.edu/index.php/jatikom/article/view/8,"IRD Prawira, R Megasari, E Nugraha… - … : Jurnal Aplikasi dan …, 2018 - jatikom.cs.upi.edu",0
Requirement Engineering Method for Alignment of Information Technology (IT) Utilization with Education Business Strategy,BL Putro,,,,,https://scholar.archive.org/work/7vo7hpy63fd3flu6qex3bdaada/access/wayback/https://eudl.eu/pdf/10.4108/eai.12-10-2019.2296346,"BL Putro, H Sutarno, RRJ Putra, DI Suryana - 2020 - scholar.archive.org",0
THE PROMISE AND CAVEATS OF IMPLEMENTING DISCOVERY-INQUIRY LEARNING,EA Nurdin,,,,,https://scholar.archive.org/work/arfdmjgcdvbvbpuexajzxlanb4/access/wayback/https://ejournal.upi.edu/index.php/jpmipa/article/download/13909/pdf,"EA Nurdin - Jurnal Pengajaran MIPA, 2011 - scholar.archive.org",0
The Effectiveness of Multimedia in Education for Special Education (MESE) to Improve Reading Ability and Memorizing for Children with Intellectual Disability.,W Setiawan,EP Nugroho,,,,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=18630383&AN=131518607&h=4UcFEUUPuqEdNcGNqumYzRqFuA%2BPijZ7Wtant%2BT%2BA%2BflJvSUjNweTOGYel4hpA6MIyJNQ6NkLdwZFIr3GbfIbQ%3D%3D&crl=c,"W Setiawan, EP Nugroho… - … Journal of Emerging …, 2018 - search.ebscohost.com",6
Kajian Implementasi E-learning Berdasarkan Tingkat Kesiapan Peserta E-learning,EA Nurdin,H Herbert,,,,http://ejournal.gunadarma.ac.id/index.php/kommit/article/viewFile/1051/914,"S Hasanah, EA Nurdin, H Herbert - Prosiding KOMMIT, 2014 - ejournal.gunadarma.ac.id",0
Garbage Bank in Elementary Schools for The Clean Life and Love the Environment Education,BL Putro,,,,,https://scholar.archive.org/work/s2hz2a2c3jc27cqabaaivbafui/access/wayback/https://eudl.eu/pdf/10.4108/eai.12-10-2019.2296317,"BL Putro, RRJP Waslaluddin, H Sutarno - 2020 - scholar.archive.org",0
Comparative performance between C4. 5 and Naive Bayes classifiers in predicting student academic performance in a Virtual Learning Environment,U Pujianto,,,,,https://ieeexplore.ieee.org/abstract/document/8693928/,"EN Azizah, U Pujianto, E Nugraha - 2018 4th International …, 2018 - ieeexplore.ieee.org",11
